time,transactions,batch_throughput_TPS,avg_tx_duration_ms
2774, 100, 26.52, 37.77
2778, 100, 26.88, 37.28
2781, 100, 27.32, 36.64
2785, 100, 27.39, 36.57
2789, 100, 27.24, 36.77
2793, 100, 22.57, 44.39
2797, 100, 26.80, 37.38
2801, 100, 27.10, 36.98
2804, 100, 27.77, 36.02
2808, 100, 27.24, 36.70
2812, 100, 26.95, 37.15
2815, 100, 26.59, 37.65
2819, 100, 26.66, 37.55
2823, 100, 27.54, 36.30
2826, 100, 27.24, 36.70
2830, 100, 27.17, 36.85
2834, 100, 26.88, 37.22
2838, 100, 26.73, 37.48
2841, 100, 26.73, 37.45
2845, 100, 26.95, 37.12
2849, 100, 27.32, 36.68
2852, 100, 27.02, 37.08
2856, 100, 26.73, 37.44
2860, 100, 26.59, 37.68
2864, 100, 27.17, 36.86
2867, 100, 26.73, 37.42
2871, 100, 27.10, 36.96
2875, 100, 27.10, 36.90
2879, 100, 27.02, 37.09
2882, 100, 26.52, 37.74
2886, 100, 27.17, 36.82
2890, 100, 27.10, 36.95
2893, 100, 26.45, 37.80
2897, 100, 27.85, 35.98
2901, 100, 23.04, 43.43
2905, 100, 25.06, 39.99
2909, 100, 27.10, 36.97
2913, 100, 27.24, 36.76
2916, 100, 27.47, 36.45
2920, 100, 27.39, 36.59
2924, 100, 27.02, 37.02
2928, 100, 27.24, 36.78
2931, 100, 26.38, 37.91
2935, 100, 27.10, 36.99
2939, 100, 26.38, 37.99
2943, 100, 27.17, 36.85
2946, 100, 27.32, 36.62
2950, 100, 26.52, 37.73
2954, 100, 26.80, 37.32
2957, 100, 27.10, 36.99
2961, 100, 27.39, 36.53
2965, 100, 27.24, 36.70
2968, 100, 26.88, 37.28
2972, 100, 27.32, 36.61
2976, 100, 27.47, 36.45
2979, 100, 27.62, 36.27
2983, 100, 27.32, 36.66
2987, 100, 27.32, 36.62
2991, 100, 26.88, 37.23
2994, 100, 26.95, 37.19
2998, 100, 26.88, 37.29
3002, 100, 26.95, 37.17
3005, 100, 27.24, 36.75
3009, 100, 27.47, 36.45
3013, 100, 27.02, 37.06
3016, 100, 26.95, 37.15
3020, 100, 26.95, 37.17
3024, 100, 27.10, 36.95
3028, 100, 27.32, 36.61
3031, 100, 27.02, 37.09
3035, 100, 26.95, 37.19
3039, 100, 26.59, 37.60
3042, 100, 26.88, 37.20
3046, 100, 27.24, 36.74
3050, 100, 27.10, 36.95
3054, 100, 27.39, 36.56
3057, 100, 26.31, 38.00
3061, 100, 26.73, 37.41
3065, 100, 26.73, 37.46
3068, 100, 27.62, 36.21
3072, 100, 27.02, 37.02
3076, 100, 27.32, 36.63
3079, 100, 27.70, 36.16
3083, 100, 27.17, 36.82
3087, 100, 27.47, 36.48
3090, 100, 27.17, 36.84
3094, 100, 27.17, 36.86
3098, 100, 27.10, 36.99
3102, 100, 27.24, 36.77
3105, 100, 27.17, 36.86
3109, 100, 27.24, 36.76
